"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
000d21e7-86de-4aa2-b612-95ec8532eb1a,"#N/A",f6d68cc5-da8e-4a55-9380-7c577bf04e27,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
000fa38e-60bb-4933-9ef0-5a273a91e7dc,"#N/A",69d5e75a-45b6-4e6c-9730-1b158ca099f5,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
0012e04a-6dd3-4a05-9751-87ea585cef56,"#N/A",efe5579a-7767-4de1-aa83-d2ba495d0311,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
0021a075-2db3-47b1-ac8c-22c73bef4552,"#N/A",508c438c-0bbb-4831-8ef0-cf7e0f5ceae4,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
0042b187-7616-4d83-b0fc-faca0cc60cd2,"#N/A",7412f0f9-b127-42c7-aadf-553b7a499a1e,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0042b6a0-3479-41fc-adf3-e8484453ab5b,"#N/A",dee31cec-ae26-4db1-985a-f8ac7548edd8,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
0049d95e-b76e-4c7c-81fe-de2123fffa05,"#N/A",59cf8130-d906-4bc5-9665-91e4e86f310a,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,7500.0,"#N/A"
0056ab1b-e682-413f-b688-8623ab8e384a,"#N/A",ba58a499-1cd2-4221-bc67-eb4365cc5b6d,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
005993e7-f4fb-4b63-8cf7-2d31f779d8a2,"#N/A",530e5687-1e97-4fc5-a43f-5f1d7c54d680,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
005fd1b8-a9be-4490-bbc4-c15c13a43b0c,"#N/A",cee978f4-cd05-4551-864c-6d4d4cbff69a,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
0079dafb-daed-4859-a74b-431f5e11ddc6,"#N/A",c20e8512-3e6c-4e04-98d6-0f1c11fdcef1,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
007fe46d-9ac8-42a5-9832-dc6469a8a4e6,"#N/A",44282f39-abde-451d-9195-b31f02137f5e,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
008c17c4-287e-415a-bbda-b269c247379f,"#N/A",e40e263d-2f61-4a72-8f62-50fc62f8361d,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
009a7453-ee22-4580-a05b-bbdaa2e859c6,"#N/A",94cbe0ef-b1f3-4c77-8027-068f4ea03e6e,25.0,"#N/A","#N/A","#N/A","#N/A","#N/A",20000.0,800.0,"#N/A"
00b1331a-a1ca-4a07-b715-fe315eabba9a,"#N/A",93443fc7-37f6-4d9c-bd1b-27b323a71b4c,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
00ce8af8-9fcc-4364-b592-cd47dfa01366,"#N/A",9d726e44-e9fe-43ed-91c6-747eda8808d2,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",4500.0,300.0,"#N/A"
00dbe12d-3232-427e-9388-cb1029a778f1,"#N/A",abe59fda-4815-420f-b641-04210cd28d68,15.0,"#N/A","#N/A","#N/A","#N/A","#N/A",7500.0,500.0,"#N/A"
00eb9c70-80d5-491c-835d-34993d886e93,"#N/A",5ff93c4c-babd-46f7-9037-eb3fd26c7757,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
00f08fca-f230-46bb-ae72-1273b5f14b0a,"#N/A",da37d346-92e3-4862-be86-12a89b5c662b,2.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.0,800.0,"#N/A"
00f132f3-c98a-4fe5-b0c2-622a0d0f68c8,"#N/A",c3212169-254b-439b-ada8-359f52ed2356,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
00f1eaeb-2cab-4873-86e3-9229e4dbfff7,"#N/A",fd69c101-0a09-43d0-a692-36c99e3e62e1,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
00f6d4f1-1a99-4f90-a13c-d6ad0a7dc2ac,"#N/A",7f7323aa-b524-4d8e-9a77-5c4b0fcdef35,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
010bdc4d-e26d-499f-86f9-4ac06c662924,"#N/A",a8230e5f-b9cd-4719-a870-3215af8bd7a9,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
014f9f08-6029-40a6-8857-6344983fd70f,"#N/A",487bb209-da60-477d-b9f6-cc2d144f7578,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",2500.0,500.0,"#N/A"
015b01af-9977-4a88-bfe3-680fed83e600,"#N/A",ff5f89c6-4616-4dae-9f8c-53cbe9c029f2,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
017aa7bb-c963-40a6-b0a3-7274f1897d71,"#N/A",81a064e6-cdf2-44af-ac60-fbb970cbfb98,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
017ef2b3-1bf2-4063-b3fd-4035f839ead6,"#N/A",5d7d9372-f087-43e7-9900-3bdd0c216c71,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",25000.0,25000.0,"#N/A"
01896533-65e7-4c02-ace6-5dc9b737cb13,"#N/A",33fcaf44-c7c3-46a3-9e4c-b08ee092d4bc,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
01a2e56a-f0c8-41f2-9c66-f5b81d1a4993,"#N/A",d4d61d3e-4431-4382-8607-488aaeeb3e99,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
01aca8e9-faa2-4928-a78f-9c3fad56b3f6,"#N/A",0a17865b-b629-414c-8a57-aae0ad67dfa0,6.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1600.00000002,266.66666667,"#N/A"
01bb0646-2328-49a5-9fa9-cd34336b9e38,"#N/A",091b2f7c-3aa9-4316-955a-e912ee25f649,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5000.0,5000.0,"#N/A"
01c4259e-8153-4181-8437-38448318291c,"#N/A",abb49752-82ab-43c3-82da-1a0c6aafe493,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
01d4a53d-5041-4cf6-8700-057186057227,"#N/A",d740e93e-8b51-49a5-b7ae-8c432172f423,4.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3600.0,900.0,"#N/A"
01ea8384-12f3-4d54-ba62-caa2e3a8e6de,"#N/A",efe5579a-7767-4de1-aa83-d2ba495d0311,5.0,"#N/A","#N/A","#N/A","#N/A","#N/A",3995.0,799.0,"#N/A"
01f0a822-4b67-4f98-9e17-e538d1ef69b9,"#N/A",aeff728b-843a-46b7-b352-5c3f0ce4a777,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",1000.0,1000.0,"#N/A"
01f6a979-6619-4f09-9d96-b92c7030d411,"#N/A",59340a39-1220-496c-af79-a156949b3d60,10.0,"#N/A","#N/A","#N/A","#N/A","#N/A",5800.0,580.0,"#N/A"
020664a8-cd1f-44d2-8777-15d15d7f0e1f,"#N/A",59340a39-1220-496c-af79-a156949b3d60,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
02572067-9c76-481c-8082-816a5e6be315,"#N/A",f2f60ee9-afcb-485d-aaec-131cc7e10535,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",75000.0,75000.0,"#N/A"
02928276-314c-412e-932c-8942cead16d3,"#N/A",d903efdf-cff3-4018-9138-5c1f8844f119,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",50.0,50.0,"#N/A"
02ac69a3-50d2-4d9b-bb8d-ef8faabe6484,"#N/A",b36d9441-51ed-471a-9eda-27d78c65ec13,20.0,"#N/A","#N/A","#N/A","#N/A","#N/A",22000.0,1100.0,"#N/A"
02c56822-e7c4-493d-90cf-d4534f73325c,"#N/A",c4c5ebfe-e562-483e-98ae-d7a5bb650cf6,1.0,"#N/A","#N/A","#N/A","#N/A","#N/A",300.0,300.0,"#N/A"
02cef729-2e37-4915-8715-6bcc7257362a,"#N/A",b764be60-8f72-49fb-bb47-55516bd26f53,8.0,"#N/A","#N/A","#N/A","#N/A","#N/A",400.0,50.0,"#N/A"
